,question,topic1,topic2,categories1,categories2
0,0,Lattice calculation techniques,,"['Algebraic methods', 'Renormalization', 'General properties of QCD (dynamics, confinement, etc.)', 'Lattice gauge theory', 'Properties of perturbation theory']","['Expansions for large numbers of components (e.g., 1/Nc expansions)', 'Chiral symmetries', 'Lattice theory and statistics', 'General properties of perturbation theory', 'Lattice QCD calculations']"
1,1,Chern–Simons,String theory,"['Noncommutative field theory', 'Canonical formalism, Lagrangians, and variational principles', 'Other nonperturbative techniques', 'Other internal and higher symmetries', 'Noncommutative geometry']","['Strings and branes', 'Nonlinear or nonlocal theories and models', 'Compactification and four-dimensional models', 'Exact solutions', 'Supergravity']"
2,2,Systems energy and time-evolution,,"['Hydrodynamic models', 'Quark-gluon plasma', 'Relativistic heavy-ion collisions', 'Foundations of quantum mechanics; measurement theory', 'Finite-temperature field theory']","['Quark deconfinement, quark-gluon plasma production, and phase transitions', 'Experimental tests of gravitational theories', 'Collective flow', 'Theory of quantized fields', 'Entanglement and quantum nonlocality']"
3,3,Theoretical jargon,CP violation bis,"['Algebraic methods', 'Phenomenology of quantum gravity', 'Solutions of wave equations: bound states', 'Foundations of quantum mechanics; measurement theory', 'Theory of quantized fields']","['Determination of Cabibbo-Kobayashi & Maskawa (CKM) matrix elements', 'Charge conjugation, parity, time reversal, and other discrete symmetries', 'Decays of bottom mesons', 'Ordinary neutrinos', 'Neutral currents']"
4,4,Superfields,,"['M theory', 'Lattice theory and statistics', 'Algebraic methods', 'Integrable systems', 'Supergravity']","['Conformal field theory, algebraic structures', 'Nonlinear or nonlocal theories and models', 'Supersymmetry', 'Geometry, differential geometry, and topology', 'Symmetry and conservation laws']"
5,5,Perturbative QCD,Mesons resonances,"['Factorization', 'Sum rules', 'Quantum chromodynamics', 'Fragmentation into hadrons', 'General properties of perturbation theory']","['Heavy quarkonia', 'Charmed mesons (|C|>0, B=0)', 'Hadron production in e−e+ interactions', 'Meson-meson interactions', 'Electromagnetic decays']"
6,6,Inflation,,"['Particle-theory and field-theory models of the early Universe (including cosmic pancakes, cosmic strings, chaotic phenomena, inflationary universe, etc.)', 'Observational cosmology (including Hubble constant, distance scale, cosmological constant, early Universe, etc)', 'Cosmology', 'Dark energy', 'Background radiations']","['Quantum cosmology', 'Phenomenology of quantum gravity', 'Origin and formation of the Universe', 'Mathematical and relativistic aspects of cosmology', 'Modified theories of gravity']"
7,7,Lepton/Meson decay,,"['Decays of K mesons', 'Bottom mesons (|B|>0)', 'Decays of taus', 'Decays of bottom mesons', 'Determination of Cabibbo-Kobayashi & Maskawa (CKM) matrix elements']","['Leptonic, semileptonic, and radiative decays', 'Decays of charmed mesons', 'Decays of bottom mesons', 'Leptonic, semileptonic, and radiative decays of mesons', 'Decays of charmed mesons']"
8,8,Conformal Field Theory,,"['M theory', 'Algebraic methods', 'Strings and branes', 'Lattice theory and statistics', 'Integrable systems']","['Canonical quantization', 'Noncommutative geometry', 'Nonperturbative techniques; string field theory', 'Geometry, differential geometry, and topology', 'Conformal field theory, algebraic structures']"
9,9,QCD calculation techniques,Perturbative QCD,"['Lattice gauge theory', 'General properties of QCD (dynamics, confinement, etc.)', 'Finite-temperature field theory', 'Lattice QCD calculations', 'Expansions for large numbers of components (e.g., 1/Nc expansions)']","['General properties of perturbation theory', 'Quantum chromodynamics', 'Fragmentation into hadrons', 'Sum rules', 'Perturbative calculations']"
10,10,Algorithms and calculation techniques,,"['Inelastic scattering: many-particle final states', 'Light quarks', 'Particle correlations and fluctuations', 'Collective flow', 'Lattice theory and statistics']","['Lattice gauge theory', 'Fragmentation into hadrons', 'Gluons', 'Jets in large-Q2 scattering', 'Lattice QCD calculations']"
11,11,Lie algebra,Matter in SU gauge symmetries,"['Algebraic methods', 'Loop quantum gravity, quantum geometry, spin foams', 'Geometry, differential geometry, and topology', 'Other internal and higher symmetries', 'Conformal field theory, algebraic structures']","['Composite models', 'Technicolor models', 'Lattice gauge theory', 'Unified theories and models of strong and electroweak interactions', 'Spontaneous and radiative symmetry breaking']"
