,question,topic1,topic2,categories1,categories2
0,0,Higgs boson,,"['Standard-model Higgs bosons', 'Other neutral Higgs bosons', 'Other gauge bosons', 'Non-standard-model Higgs bosons', 'Extensions of electroweak Higgs sector']","['Supersymmetric models', 'Extensions of electroweak gauge sector', 'Supersymmetric Higgs bosons', 'Unification of couplings; mass relations', 'Limits on production of particles']"
1,1,Chern–Simons,,"['Canonical formalism, Lagrangians, and variational principles', 'Geometry, differential geometry, and topology', 'Magnetic monopoles', 'Classical and semiclassical techniques', 'Noncommutative geometry']","['Lagrangian and Hamiltonian approach', 'Gauge field theories', 'Other internal and higher symmetries', 'Noncommutative field theory', 'Other nonperturbative techniques']"
2,2,Stars physics,,"['Quarks, gluons, and QCD in nuclear reactions', 'Quark matter', 'Particle and resonance production', 'Hydrodynamic models', 'Quark deconfinement, quark-gluon plasma production, and phase transitions']","['Quark-gluon plasma', 'Particle correlations and fluctuations', 'Phenomenology of quantum gravity', 'Collective flow', 'Relativistic heavy-ion collisions']"
3,3,Matter in SU gauge symmetries,,"['Flavor symmetries', 'Spontaneous and radiative symmetry breaking', 'Composite models', 'Unified theories and models of strong and electroweak interactions', 'Spontaneous breaking of gauge symmetries']","['Chiral symmetries', 'Extensions of electroweak gauge sector', 'Lattice gauge theory', 'Technicolor models', 'Unification of couplings; mass relations']"
4,4,Annihilation and scattering cross-sections,,"['Regge theory, duality, absorptive/optical models', 'Meson production', 'Electromagnetic processes and properties', 'Baryon production', 'Baryon resonances (S=C=B=0)']","['Elastic and Compton scattering', 'Total cross sections', 'Nucleon-nucleon interactions', 'Photon and charged-lepton interactions with hadrons', 'Hadron production in e−e+ interactions']"
5,5,Form factors,QCD,"['Sum rules', 'Protons and neutrons', 'Hyperons', 'pi, K, and eta mesons', 'Baryon production']","['Heavy quark effective theory', 'Electromagnetic decays', 'Other mesons with S=C=0, mass < 2.5 GeV', 'Glueball and nonstandard multi-quark/gluon states', 'Charmed baryons (|C|>0, B=0)']"
6,6,Quantum Field Theory,Quantum Systems and Equations of motion,"['Algebraic methods', 'Canonical quantization', 'Solutions of wave equations: bound states', 'Noncommutative geometry', 'Integrable systems']","['Relativistic wave equations', 'Canonical formalism, Lagrangians, and variational principles', 'Magnetic monopoles', 'Quantum mechanics', 'Lagrangian and Hamiltonian approach']"
7,7,Theoretical jargon,,"['Fundamental problems and general formalism', 'Theory of quantized fields', 'Quantum mechanics', 'Integrable systems', 'Geometry, differential geometry, and topology']","['Foundations of quantum mechanics; measurement theory', 'Phenomenology of quantum gravity', 'Solutions of wave equations: bound states', 'Nonlinear or nonlocal theories and models', 'Algebraic methods']"
8,8,Chern–Simons,,"['Classical and semiclassical techniques', 'Gauge field theories', 'Noncommutative geometry', 'Lagrangian and Hamiltonian approach', 'Magnetic monopoles']","['Noncommutative field theory', 'Geometry, differential geometry, and topology', 'Other internal and higher symmetries', 'Other nonperturbative techniques', 'Canonical formalism, Lagrangians, and variational principles']"
9,9,Black holes,,"['Quantum aspects of black holes, evaporation, thermodynamics', 'Higher-dimensional black holes, black strings, and related objects', 'Exact solutions', 'Black holes', 'Classical black holes']","['Physics of black holes', 'Lower dimensional models; minisuperspace models', 'Gravity in more than four dimensions, Kaluza-Klein theory, unified field theories; alternative theories of gravity', 'Classical general relativity', 'Einstein-Maxwell spacetimes, spacetimes with fluids, radiation or classical fields']"
