,question,topic1,topic2,categories1,categories2
0,0,CP violation bis,Space-time geometry and gravity,"['Ordinary neutrinos', 'Decays of charmed mesons', 'Decays of bottom mesons', 'Determination of Cabibbo-Kobayashi & Maskawa (CKM) matrix elements', 'Neutral currents']","['Fundamental problems and general formalism', 'Gravity in more than four dimensions, Kaluza-Klein theory, unified field theories; alternative theories of gravity', 'Classical black holes', 'Spacetime topology, causal structure, spinor structure', 'Lower dimensional models; minisuperspace models']"
1,1,States of matter,,"['Chiral symmetries', 'Quark deconfinement, quark-gluon plasma production, and phase transitions', 'Entanglement and quantum nonlocality', 'Finite-temperature field theory', 'Classical black holes']","['Quark-gluon plasma', 'Gauge/string duality', 'Higher-dimensional black holes, black strings, and related objects', 'Quark matter', 'Lattice theory and statistics']"
2,2,Theoretical jargon,Scattering of composite particles,"['Nonlinear or nonlocal theories and models', 'Quantum mechanics', 'Integrable systems', 'Phenomenology of quantum gravity', 'Solutions of wave equations: bound states']","['Photon and charged-lepton interactions with hadrons', 'Total and inclusive cross sections (including deep-inelastic processes)', 'Protons and neutrons', 'Elastic and Compton scattering', 'Fragmentation into hadrons']"
3,3,Junk(decay/search/data/limit/gamma/collider),,"['Decays of taus', 'Determination of Cabibbo-Kobayashi & Maskawa (CKM) matrix elements', 'Muons', 'Decays of J/ψ, Υ, and other quarkonia', 'Electromagnetic decays']","['Leptonic, semileptonic, and radiative decays of mesons', 'Decays of bottom mesons', 'Bottom mesons (|B|>0)', 'Limits on production of particles', 'Decays of J/ψ, Υ, and other quarkonia']"
4,4,Superfields,Stars physics,"['Integrable systems', 'M theory', 'Lattice theory and statistics', 'Supersymmetry', 'Geometry, differential geometry, and topology']","['Quark matter', 'Relativistic heavy-ion collisions', 'Particle and resonance production', 'Quark-gluon plasma', 'Quarks, gluons, and QCD in nuclear reactions']"
5,5,Conformal Field Theory,,"['Geometry, differential geometry, and topology', 'Lattice theory and statistics', 'M theory', 'Algebraic methods', 'Conformal field theory, algebraic structures']","['Noncommutative geometry', 'Canonical quantization', 'Integrable systems', 'Nonperturbative techniques; string field theory', 'Strings and branes']"
6,6,Spin/angular momentum/polarization,Neutrino physics,"['Photon and charged-lepton interactions with hadrons', 'Electromagnetic processes and properties', 'Polarization in interactions and scattering', 'Protons and neutrons', 'Meson production']","['Neutrino mass and mixing', 'Neutrino, muon, pion, and other elementary particle detectors; cosmic ray detectors', 'Solar neutrinos', 'Neutrino, muon, pion, and other elementary particles; cosmic rays', 'Quark and lepton masses and mixing']"
7,7,Quantum Systems and Equations of motion,,"['Canonical formalism, Lagrangians, and variational principles', 'Relativistic wave equations', 'Magnetic monopoles', 'Integrable systems', 'Canonical quantization']","['Solutions of wave equations: bound states', 'Lagrangian and Hamiltonian approach', 'Nonlinear or nonlocal theories and models', 'Algebraic methods', 'Quantum mechanics']"
8,8,Theoretical jargon,,"['Quantum mechanics', 'Geometry, differential geometry, and topology', 'Foundations of quantum mechanics; measurement theory', 'Solutions of wave equations: bound states', 'Algebraic methods']","['Nonlinear or nonlocal theories and models', 'Phenomenology of quantum gravity', 'Fundamental problems and general formalism', 'Theory of quantized fields', 'Integrable systems']"
9,9,Cross-sections in colliders,,"['Z bosons', 'Hadron-induced high- and super-high-energy interactions', 'Inclusive production with identified hadrons', 'Total cross sections', 'Inelastic scattering: many-particle final states']","['Jets in large-Q2 scattering', 'Production', 'Particle correlations and fluctuations', 'Particle and resonance production', 'Inclusive production with identified leptons, photons, or other nonhadronic particles']"
10,10,cp violation,,"['Global symmetries (e.g., baryon number, lepton number)', 'Determination of Cabibbo-Kobayashi & Maskawa (CKM) matrix elements', 'Charge conjugation, parity, time reversal, and other discrete symmetries', 'Non-standard-model neutrinos, right-handed neutrinos, etc.', 'Neutrino mass and mixing']","['Quark and lepton masses and mixing', 'Decays of K mesons', 'Neutral currents', 'Unification of couplings; mass relations', 'Flavor symmetries']"
