,question,topic1,topic2,categories1,categories2
0,0,Boundary conditions,Topology,"['Canonical formalism, Lagrangians, and variational principles', 'Foundations of quantum mechanics; measurement theory', 'Lattice theory and statistics', 'Integrable systems', 'Spacetime topology, causal structure, spinor structure']","['Geometry, differential geometry, and topology', 'Noncommutative geometry', 'D branes', 'String and brane phenomenology', 'Nonperturbative techniques; string field theory']"
1,1,Systems energy and time-evolution,,"['Entanglement and quantum nonlocality', 'Relativistic heavy-ion collisions', 'Experimental tests of gravitational theories', 'Theory of quantized fields', 'Foundations of quantum mechanics; measurement theory']","['Collective flow', 'Quark-gluon plasma', 'Hydrodynamic models', 'Finite-temperature field theory', 'Quark deconfinement, quark-gluon plasma production, and phase transitions']"
2,2,Events in colliders (final states),CP violation bis,"['Hadron-induced high- and super-high-energy interactions', 'Production', 'Jets in large-Q2 scattering', 'Experimental tests', 'Inclusive production with identified leptons, photons, or other nonhadronic particles']","['Flavor symmetries', 'Bottom mesons (|B|>0)', 'Decays of charmed mesons', 'Ordinary neutrinos', 'Charge conjugation, parity, time reversal, and other discrete symmetries']"
3,3,Systems energy and time-evolution,Higgs beyond the SM,"['Quark deconfinement, quark-gluon plasma production, and phase transitions', 'Relativistic heavy-ion collisions', 'Experimental tests of gravitational theories', 'Entanglement and quantum nonlocality', 'Hydrodynamic models']","['Standard-model Higgs bosons', 'Electroweak radiative corrections', 'Other neutral Higgs bosons', 'Supersymmetric partners of known particles', 'Limits on production of particles']"
4,4,Boundary conditions,Gauge Theory,"['Foundations of quantum mechanics; measurement theory', 'Conformal field theory, algebraic structures', 'Canonical formalism, Lagrangians, and variational principles', 'Integrable systems', 'Spacetime topology, causal structure, spinor structure']","['Symmetry and conservation laws', 'Other internal and higher symmetries', 'Lorentz and Poincaré invariance', 'Geometry, differential geometry, and topology', 'Canonical quantization']"
5,5,Instruments,Systems energy and time-evolution,"['Neutrino interactions', 'Solar neutrinos', 'Muons', 'Experimental tests of gravitational theories', 'Neutrino-induced reactions']","['Quark deconfinement, quark-gluon plasma production, and phase transitions', 'Theory of quantized fields', 'Entanglement and quantum nonlocality', 'Collective flow', 'Relativistic heavy-ion collisions']"
6,6,cp violation,,"['Neutrino mass and mixing', 'Non-standard-model neutrinos, right-handed neutrinos, etc.', 'Flavor symmetries', 'Charge conjugation, parity, time reversal, and other discrete symmetries', 'Decays of K mesons']","['Unification of couplings; mass relations', 'Quark and lepton masses and mixing', 'Global symmetries (e.g., baryon number, lepton number)', 'Determination of Cabibbo-Kobayashi & Maskawa (CKM) matrix elements', 'Neutral currents']"
7,7,String theory,Theoretical jargon,"['M theory', 'Magnetic monopoles', 'Supergravity', 'Exact solutions', 'Extended classical solutions; cosmic strings, domain walls, texture']","['Fundamental problems and general formalism', 'Algebraic methods', 'Integrable systems', 'Theory of quantized fields', 'Phenomenology of quantum gravity']"
8,8,Measurements and analysis of colliders data,Meson phenomenology,"['Neutrino, muon, pion, and other elementary particle detectors; cosmic ray detectors', 'Muons', 'Bottom mesons (|B|>0)', 'Decays of charmed mesons', 'Determination of Cabibbo-Kobayashi & Maskawa (CKM) matrix elements']","['Glueball and nonstandard multi-quark/gluon states', 'Hadron mass models and calculations', 'Other mesons with S=C=0, mass < 2.5 GeV', 'Exotic mesons', 'Potential models']"
9,9,Chirality and hadronic matter ,,"['General properties of QCD (dynamics, confinement, etc.)', 'Other models for strong interactions', 'Lattice gauge theory', 'Quark deconfinement, quark-gluon plasma production, and phase transitions', 'Light quarks']","['Chiral Lagrangians', 'Relativistic quark model', 'Quark matter', 'Chiral symmetries', 'Lattice QCD calculations']"
