,question,topic1,topic2,categories1,categories2
0,0,High-energy source fluxes,Theoretical jargon,"['Dark energy', 'Experimental tests of gravitational theories', 'Neutrino interactions', 'Neutrino, muon, pion, and other elementary particles; cosmic rays', 'Background radiations']","['Geometry, differential geometry, and topology', 'Quantum mechanics', 'Fundamental problems and general formalism', 'Theory of quantized fields', 'Foundations of quantum mechanics; measurement theory']"
1,1,Theoretical jargon,Dark matter direct detection and WIMPs,"['Geometry, differential geometry, and topology', 'Phenomenology of quantum gravity', 'Nonlinear or nonlocal theories and models', 'Fundamental problems and general formalism', 'Quantum mechanics']","['Axions and other Nambu-Goldstone bosons (Majorons, familons, etc.)', 'Neutrino, muon, pion, and other elementary particles; cosmic rays', 'Other gauge bosons', 'Supersymmetric partners of known particles', 'Dark matter']"
2,2,Theoretical jargon,,"['Phenomenology of quantum gravity', 'Solutions of wave equations: bound states', 'Foundations of quantum mechanics; measurement theory', 'Integrable systems', 'Nonlinear or nonlocal theories and models']","['Theory of quantized fields', 'Geometry, differential geometry, and topology', 'Algebraic methods', 'Quantum mechanics', 'Fundamental problems and general formalism']"
3,3,Heavy quarks and ions ,,"['Inclusive production with identified hadrons', 'Hydrodynamic models', 'Particle and resonance production', 'Relativistic heavy-ion collisions', 'Quark deconfinement, quark-gluon plasma production, and phase transitions']","['Charmed baryons (|C|>0, B=0)', 'Fragmentation into hadrons', 'Particle correlations and fluctuations', 'Quarks, gluons, and QCD in nuclear reactions', 'Collective flow']"
4,4,Theoretical jargon,,"['Phenomenology of quantum gravity', 'Quantum mechanics', 'Theory of quantized fields', 'Solutions of wave equations: bound states', 'Nonlinear or nonlocal theories and models']","['Geometry, differential geometry, and topology', 'Algebraic methods', 'Fundamental problems and general formalism', 'Integrable systems', 'Foundations of quantum mechanics; measurement theory']"
5,5,Partons distributions,,"['Perturbative calculations', 'Fragmentation into hadrons', 'Production', 'Jets in large-Q2 scattering', 'Factorization']","['Summation of perturbation theory', 'Polarization in interactions and scattering', 'Inclusive production with identified hadrons', 'Total and inclusive cross sections (including deep-inelastic processes)', 'Photon and charged-lepton interactions with hadrons']"
6,6,Topology,Cross-sections in colliders,"['Noncommutative field theory', 'Compactification and four-dimensional models', 'Spacetime topology, causal structure, spinor structure', 'D branes', 'M theory']","['Production', 'Inclusive production with identified hadrons', 'Inelastic scattering: many-particle final states', 'Jets in large-Q2 scattering', 'Particle and resonance production']"
7,7,Space-time geometry and gravity,CP violation bis,"['Spacetime topology, causal structure, spinor structure', 'Classical general relativity', 'Classical black holes', 'Lower dimensional models; minisuperspace models', 'Exact solutions']","['Bottom mesons (|B|>0)', 'Flavor symmetries', 'Decays of bottom mesons', 'Decays of bottom mesons', 'Determination of Cabibbo-Kobayashi & Maskawa (CKM) matrix elements']"
8,8,Chirality and hadronic matter ,Search for BSM physics,"['General properties of QCD (dynamics, confinement, etc.)', 'Lattice QCD calculations', 'Chiral Lagrangians', 'Light quarks', 'Chiral symmetries']","['Decays of K mesons', 'Models beyond the standard model', 'Leptonic, semileptonic, and radiative decays of mesons', 'Decays of taus', 'Neutrino, muon, pion, and other elementary particle detectors; cosmic ray detectors']"
9,9,Perturbative QCD,,"['Factorization', 'Fragmentation into hadrons', 'Production', 'Summation of perturbation theory', 'General properties of perturbation theory']","['Quantum chromodynamics', 'Heavy quark effective theory', 'Perturbative calculations', 'Renormalization group evolution of parameters', 'Sum rules']"
